LahmanPlayerID,Year,UniNo,,,
10046,1998,14,,,
1863,1998,15,,,
1695,1998,16,,,
10173,1998,18,,,
1761,1998,19,,,
14231,1998,22,,,
11472,1998,23,,,
1495,1998,26,,,
10510,1998,27,,,
1327,1998,29,,,
2011,1998,30,,,
10507,1998,31,,,
1811,1998,32,,,
2031,1998,33,,,
1897,1998,34,,,
1894,1998,35,,,
1682,1998,37,,,
1823,1998,39,,,
1757,1998,40,,,
1724,1998,42,,,
1380,1998,44,,,
1777,1998,45,,,
2077,1998,46,,,
2017,1998,47,,,
2039,1998,48,,,
1972,1998,49,,,
1832,1998,50,,,
2057,1998,51,,,
10642,1998,55,,,
1970,1998,56,,,
1624,1998,61,,,
2180,1998,62,,,
1798,1998,64,,,
1741,1998,66,,,
1613,1999,1,,,
2022,1999,2,,,
10099,1999,3,,,
10194,1999,4,,,
1595,1999,6,,,
1797,1999,7,,,
10264,1999,8,,,
1436,1999,9,,,
2062,1999,10,,,
1457,1999,10,,,
1426,1999,11,,,
2042,1999,13,,,
14889,1999,13,,,
1863,1999,15,,,
1967,1999,17,,,
10173,1999,18,,,
1554,1999,19,,,
1779,1999,20,,,
10256,1999,22,,,
11472,1999,23,,,
10046,1999,26,,,
10510,1999,27,,,
2109,1999,28,,,
2011,1999,30,,,
1811,1999,32,,,
2031,1999,33,,,
1897,1999,34,,,
1894,1999,35,,,
1682,1999,37,,,
1823,1999,39,,,
1757,1999,40,,,
1612,1999,41,,,
1724,1999,42,,,
1979,1999,43,,,
1777,1999,45,,,
10348,1999,45,,,
2077,1999,46,,,
2017,1999,47,,,
1832,1999,50,,,
2057,1999,51,,,
1970,1999,56,,,
10642,1999,59,,,
2105,1999,61,,,
2180,1999,62,,,
1798,1999,64,,,
2167,2000,0,,,
10099,2000,3,,,
10194,2000,4,,,
14889,2000,5,,,
1595,2000,6,,,
1797,2000,7,,,
10264,2000,8,,,
2062,2000,10,,,
1457,2000,10,,,
1426,2000,11,,,
12724,2000,14,,,
1863,2000,15,,,
1967,2000,17,,,
10173,2000,18,,,
1554,2000,19,,,
